"S.No.","is_soft_skill","is_behavioral_skill","synon_skill","skill_cluster","skill_description","skill_keyword","skill_type","digital_product"
"6350","False","False","Plant Propagation","Natural Sciences","Plant Propagation is the process of growing new plants from various sources such as seeds, cuttings, and other plant components.","plant propagation;plant propagation cutting;plant propagations","",""
"6351","False","False","Hydralogical Modelling","Water & Effluent Treatment","Hydralogical Modelling is the simplification of a system model, prediction and management of water resources.","hydralogical modelling;hydrological modeling;hydralogical modeling","",""
"6352","False","False","Report Management","Functional Skills","Report Management is a software solution that allows users to manage the entire legal reporting process.","report management;management reports","",""
"6353","False","False","Audio Visual Planning","Video & Audio Production","Audio Visual planning is the process of preparing and implementing the technology that will be utilised to display video or images as well as transmit audio during an event.","audio visual planning;av planning;av checklist;audio visual event management;av event planning checklist","",""
"6354","False","False","Cardiopulmonary Resuscitation(Cpr)","Healthcare","Cardiopulmonary Resuscitation(Cpr) is a life-saving procedure that may be used in a variety of situations such as a heart attack or near-drowning.","cardiopulmonary resuscitation (cpr);cpr first aid;cpr management","",""
"6355","False","False","Ati Vision","Graphics Processing","Ati Vision software is an integrated calibration and data gathering tool that gathers signals from the ECU(Electronic Control Unit ) and other sources, evaluates connections between inputs and outputs, and enables real-time calibration and modification of closed loop control systems.","ati vision;vision calibration and data acquisition;mx suite ativision","",""
"6356","False","False","Aderant Compulaw Software","Legal Services","Aderant Compulaw Software is a software that provides a suite of legal business, ebilling and legal timekeeping solutions to law firms of all kinds.","aderant compulaw software;compulaw;aderant legal software","",""
"6357","False","False","Computer Assisted Legal Research (Calr)","Data Engineering And Analytics","Computer Assisted Legal Research (Calr) is the process  of databases containing legislation and its accessible through electronic databases.","computer assisted legal research (calr);computer assisted legal research;calr law","",""
"6358","False","False","Continual Improvement","Product Management","Continual Improvement is the process of product and service that aim for modest development over time or for a one-time breakthrough.","continual improvement;continuous improvement model","",""
"6359","False","False","Nursing Management","Healthcare","Nursing Management is the process of carrying out the leadership duties of governance and decision-making within companies that employ nurses.","nursing management;healthcare nursing management","",""
"6360","False","False","Google Api","Application Programming Interface (API)","Google Api is an application programming interface that enables communication with Google Services as well as their integration with other services.","google api;google cloud apis;google apis","",""
"6361","False","False","Broadcast Operations","Telecommunication","Broadcast Operations is the technical team in charge of all internal infrastructure engineering for television and radio studios to sustain business-critical activities.","broadcast operations","",""
"6362","False","False","Program Maintenance","Software Development","Program Maintenance is the process of changing software products and delivered to repair flaws, enhance performance or improve other qualities.","program maintenance;software maintenance;programs maintanence","",""
"6363","False","False","Database Patching","Database Skills","Database Patching is a procedure done for fixing bugs and improving system performance.","database patching;database patch compliance;database patch management","",""
"6364","False","False","Sequelize","Database Skills","Sequelize is a Node.Object-relational mapping that supports Postgres, MySQL, MariaDB, SQLite and Microsoft  Server.","sequelize","",""
"6365","False","False","Database Backup Recovery","Database Skills","Database Backup Recovery means creating a replica of the database information and data and storing it on a backup server.","database backup recovery","",""
"6366","False","False","Prototyping Tools","Graphic Design and Animation","Prototyping Tools is the process of allowing a designer to weave together graphics and interactions to create  concrete picture of a design.","prototyping tools","",""
"6367","False","False","Media Operations","Social Media Management ","Media Operations is the process of day to day operations of a media station and implementing media production policies as well as coordinating all resources.","media operations","",""
"6368","False","False","Database Administration","Database Skills","Database Administration is the process of administering and maintaining database management systems and Server required constant administration.","database administration","",""
"6369","False","False","Database Replication","Database Skills","Database Replication is the process of transferring data from a central database to one or more databases.","database replication","",""
"6370","False","False","Data Science","Data Science","Data Science is the field of study that combines domain expertise, programming skills, knowledge of mathematics and statistics to extract meaningful insights from data.","data science","",""
"6371","False","False","Azure Data Factory","Database Skills","Azure Data Factory is the process of cloud service and transformation.It enables a code free user interface and single pane of glass monitoring and management.","azure data factory","",""
"6372","False","False","Advertising Management","Advertising","Advertising Management is the process of advertising activities included in a program to connect with a firm's target market and influence the consumer's purchasing decisions.","advertising management;advertising management and public relations;ads management","",""
"6373","False","False","Sequence Drawing","Manufacturing","Sequence Drawing is technique for planning out each stage of the manufacturing process and allowing the designer to identify any potential issues before the product is manufactured.","sequence drawing;sketch sequence drawing;sequence drawings","",""
"6374","False","False","Broadcast Monitoring","Social Media Management ","Broadcast Monitoring is a technique for tracking the output of broadcast media such as tv, radio and the internet.","broadcast monitoring;broadcast media monitoring","",""
"6375","False","False","Design Conceptualization","Product Design","Design Conceptualization is the process of generating ideas for the best possible solution to a design challenge.","design conceptualization;design concepts","",""
"6376","False","False","Larapi","Software Development","Larapi is a package that provides contemporary Application Programming Interface development in Laravel.","larapi;larapi api;one2tek larapi","",""
"6377","False","False","Ensemble Methods","AI/ML","Ensemble Methods is a technique of machine learning approach that integrates many base models to create a single optimum prediction model.","ensemble methods","",""
"6378","False","False","Natural Science","Natural Sciences","Natural Science is a field of science that deals with the description, comprehension and prediction of natural events","natural science","",""
"6379","False","False","Hashing","Data Engineering And Analytics","Hashing is a method for representing an arbitrarily huge quantity of data compactly.","hashing","",""
"6380","False","False","Graphpad Prism","Data Visualization","Graphpad Prism is a process of commercial scientific 2D graphing and statistics program for Windows and Macintosh computers.","graphpad prism","",""
"6381","False","False","Octopus Deploy","DevOps","Octopus Deploy is a server that automates the deployment and administration of applications, Windows Services and databases.","octopus deploy","",""
"6382","False","False","Structural Geology","Natural Sciences","Structural Geology is a scientific field that studies rock deformation on both big and microscopic scale","structural geology;structural surface geogology;structural closure geology","",""
"6383","False","False","Clip Studio Paint","Graphic Design and Animation","Clip Studio Paint is a software application used to create digital graphics, general art and 2D animation.","clip studio paint animation","",""
"6384","False","False","Jquery Mobile","Mobile Development","Jquery Mobile is an HTML(Hyper Text Markup Language) based user interface technology that allows to create responsive web pages and applications that work on all smartphone, tablet and desktop platforms.","jquery mobile","",""
"6385","False","False","G Code","Computer Numerical Control (CNC)","G Code is a programming language for numerical control and it is used to operate automated machine tools in computer-aided manufacturing.","gcode;g   code;g-code;g - code","",""
"6386","False","False","Jquery Ui","UI/UX","Jquery Ui is a customised collection of user interfaces for developing highly interactive internet programmes.","jquery ui","",""
"6387","False","False","Azure Functions","Cloud Deployment, Scaling And Management","Azure Functions is a cloud solution that offers all of the infrastructure and resources required to execute applications on a continuous basis.","azure functions","",""
"6388","False","False","Vanilla Javascript","JavaScript & Associated Libraries","Vanilla Javascript refers to javascript frameworks that employ the vanilla script to develop major and influential applications and websites.","vanilla javascript","",""
"6389","False","False","Database Maintenance","Database Skills","Database Maintenance is a terminology to describe a collection of actions that are all performed to improve the database.","database maintenance;database maintenance strategy;database maintenance services","",""
"6390","False","False","Structured Text Programming","Programmable Logic Controllers (PLC)","Structured Text Programming is a programming language designed for programmable logic controllers.It is text-based, compared to the graphics based ladder diagram or function block diagram.","structured text programming;structured text plc programming","",""
"6391","False","False","Apache Ignite","Database Skills","Apache Ignite is a distributed database with in-memory speed for high-performance computation.","apache ignite","",""
"6392","False","False","Scrum Methodologies","Agile/Scrum Methodologies","Scrum Methodologies is an agile software development approach that is built on iterative and incremental procedures.","scrum methodologies","",""
"6393","False","False","Storyboard Pro","Graphic Design and Animation","Storyboard Pro is a whiteboard system that incorporates sketching, writing, camera controls, animatic generation and sound.","storyboard pro;toon boom storyboard pro;storyboarder","",""
"6394","False","False","Immunostaining","Clinical Research and Development","Immunostaining is an application that utilizes an antibody to detect a specific protein in a sample.","immunostaining","",""
"6395","False","False","Database Modeling","Database Skills","Database Modeling is a combination of a database's logical structure and relational model,that utilizes a table format.","database modeling","",""
"6396","False","False","Risk Management","Governance Risk & Compliance","Risk management involves the ability to identify risks associated with tasks and manage them effectively to achieve task results.","risk management","",""
"6397","False","False","Ablation Procedure","Healthcare","Ablation Procedure is the process of cardiac ablation that eliminate a defective electrical route from areas of the heart that are prone to generating cardiac arrhythmias.","ablation procedure;cardiac ablation;catheter ablation;ablation therapy","",""
"6398","False","False","Powerproject","Project Management","Powerproject is a cloud-based project management system that allows to create 3D and 4D models and tracking the progress of activities throughout the building process","powerproject","",""
"6399","False","False","Real Estate Economics","Asset Management","Real Estate Economics is the process of assessing the condition of real estate markets.It defines forecast pricing,supply and demand trends.","real estate economics;real estate and urban economics;real estate economic","",""
"6400","False","False","Cost Benefit Analysis (Cba)","Accounting","Cost Benefit Analysis (Cba) is a technique for assessing the strengths and weaknesses of alternatives  and maintaining costs.","cost benefit analysis (cba)","",""
"6401","False","False","Safe Isolation","Environment, Health and Safety (EHS)","Safe Isolation is an electrical installation from the rest of the circuit and ensuring that no current is passing throughout the circuit","safe isolation;safe isolation procedure;saftey isolation","",""
"6402","False","False","Arboricultural Services","Natural Sciences","Arboricultural Services is the process of growing plants and responding to cultural practices like Fertilization, pruning, shaping and removal.","arboricultural services;arboriculture;arboriculture agricultural service","",""
"6403","False","False","Agricultural Marketing","Sales Skills","Agricultural Marketing is the process of encompassing the service required to transport an agricultural product from the farm to the customer.","agricultural marketing;agricultural products marketing;agricultural marketing system","",""
"6404","False","False","Safety Assurance","Environment, Health and Safety (EHS)","Safety Assurance is the process of monitoring and recording the safety performance, and also evaluating  the  safety management procedures and practices.","safety assurance","",""
"6405","False","False","Vegetation Management","Environment, Health and Safety (EHS)","Vegetation Management is the systematic control and eradication of undesirable vegetation and it includes everything from weeds and shrubs to branches and trees.","vegetation management","",""
"6406","False","False","Reactive Maintenance","Functional Skills","Reactive Maintenance is the process of restoring assets to normal operating conditions once they have failed due to poor performance or breakdown.","reactive maintenance","",""
"6407","False","False","Natural Resource Management (Nrm)","Environment, Health and Safety (EHS)","Natural Resource Management (Nrm) refers to the natural resources that affects the quality of life for both present and future generations.","natural resource management (nrm);natural resources;natural resource management","",""
"6408","False","False","Economic Impact Analysis (Eia)","Business Management","Economic Impact Analysis (Eia) is the process of assessing the impacts of a project, program, or policy on the economy of a particular region.","economic impact analysis (eia);economic impact assessment;impact assesment","",""
"6409","False","False","Agricultural Planning","Natural Sciences","Agricultural Planning is the process of assisting farmers in making decisions about crop selection with available resources.","agricultural planning;agriculture plan","",""
"6410","False","False","Crop Management","Natural Sciences","Crop Management is a collection of farming techniques used to promote crop growth, development and output.","crop management","",""
"6411","False","False","Hydrogeologic Analysis","Natural Sciences","Hydrogeologic Analysis is the process of analysing groundwater and it is associated with how water enters the earth moves in the subsurface and interacts with the surrounding soil and rock.","hydrogeologic analysis;hydrogeological analysis","",""
"6412","False","False","Tree Preservation And Protection Plan Strategy","Environment, Health and Safety (EHS)","Tree Preservation And Protection Plan Strategy is long term survival that include securing the biological health and conditions.","tree preservation and protection plan strategy;tree preservation;tree preservation protection","",""
"6413","False","False","Hydrology Assessment","Natural Sciences","Hydrology Assessment is an analysis to determine the flow or amount of water in a river or stream, on land, in soils, in a pond or a reservoir.","hydrological assessment;hydrology assessment;hydrology & hydrological assessment;hydrology and hydrological assessment","",""
"6414","False","False","Agricultural Development","Natural Sciences","Agricultural Development is the process of increasing the overall production of agricultural products and increasing the production per unit area.","agricultural development;agriculture development;cultivation development","",""
"6415","False","False","Autodesk Fabrication","Computer-Aided Design and Simulation","Autodesk Fabrication is a visual model of pipe, plumbing or ducting systems in AutoCAD (computer-aided design) with CAD mep.","autodesk fabrication;autodesk fabrication software;autodesk fabrication mep","",""
"6416","False","False","Soil Monitoring","Spatial Analysis & Geographic Information Systems","Soil Monitoring is a process that allows a collection of data on rainfall, temperature and other parameters over time to analyze trends and forecast irrigation requirements.","soil monitoring;soil moisture monitoring;soil quality monitoring","",""
"6417","False","False","Forest Management","Environment, Health and Safety (EHS)","Forest Management is an area of forestry that is concerned with the entire administrative,legal, economic and social elements of forestry.","forest management","",""
"6418","False","False","Groundwater Modelling","Water & Effluent Treatment","Groundwater Modelling is the process of predicting  water balance and travel durations along flow routes by simulating hydraulic heads and groundwater flow rates.","groundwater modelling","",""
"6419","False","False","Economic Development","Wealth Management & Advisory","Economic Development refers to programs, policies or actions that aim to improve a community's economic well-being and quality of life.","economic development","",""
"6420","False","False","Livestock Management","Natural Sciences","Livestock Management is the process of caring farm animals and also monitoring farm employees.","livestock management;management of livestock;livestock farmers management","",""
"6421","False","False","Maintenance Reactive","Functional Skills","Maintenance Reactive is the process of repairing assets to standard operating conditions after poor performance or breakdown is observed.","maintenance reactive","",""
"6422","False","False","Edificius","Computer-Aided Design and Simulation","Edificius is a software program for building information modeling and 3D architectural design that is used in the construction sector.","edificius software;edificius bim;edificius architect design","",""
"6423","False","False","Cognitive Ergonomics","Functional Skills","Cognitive Ergonomics is a scientific field that investigates and develop activities and systems that interact with workers and their cognitive capacities.","cognitive ergonomics;cognitive ergonomic;cognitive ergonomics designing","",""
"6424","False","False","Inflammatory Response","Clinical Research and Development","Inflammatory Response is the process of eliminating the harmful substance and removing damaged tissue components so that the body can begin to heal.","inflammation response;inflammatory response;inflammation","",""
"6425","False","False","Hydraulic Modelling","Statistical & Mathematical Modelling","Hydraulic Modelling is a technique used in the area of water resources engineering to assess the feasibility of proposed changes.","hydraulic modelling","",""
"6426","False","False","Ventricular Ablation Procedure","Healthcare","Ventricular Ablation Procedure is a technique that creates a tiny scar in the human heart that utilize cold or hot radiation to block abnormal impulses that cause a rapid, irregular heartbeat.","ventricular ablation procedure;ventricular tachycardia ablation","",""
"6427","False","False","Maintenance Services","Functional Skills","Maintenance Services are the processes of emergency repairs, component replacements and the functioning of a building's mechanical and electrical systems","maintenance services","",""
"6428","False","False","Combustion Performance Analysis","Aerospace Engineering","Combustion Performance Analysis is the process of  monitoring and interpreting a variety of characteristics including stack temperature, flue pressure and gas levels.","combustion performance analysis;combustion analysis;cpa1 training and assessment","",""
"6429","False","False","Diagnostic Cardiac Catheterization","Healthcare","Diagnostic Cardiac Catheterization is the procedure of inserting hollow plastic tubes called catheters into veins or arteries in the neck, leg or arm under local anaesthetic,from which they are advanced to the right or left sides of the heart.","diagnostic cardiac catheterization;cardiac catheterization","",""
"6430","False","False","Farming Operations Strategy","Business Management","Farming Operations Strategy entails developing long-term plans to boost the farms profitability and competitiveness.","farming operations strategy;farming operations;farming operations management","",""
"6431","False","False","Pressure System Regulations","Environment, Health and Safety (EHS)","Pressure System Regulations is the process of describing a system that consist of one or more rigid pressure containers, related pipework and protective devices.","pressure system regulations","",""
"6432","False","False","Biopsychosocial Assessment","Clinical Research and Development","Biopsychosocial Assessment means the assessment of  an individual's biological, psychological and social variables in order to guide treatment.","biopsychosocial assessment","",""
"6433","False","False","Myofascial Release","Healthcare","Myofascial Release is a type of manual massage treatment to improve blood and lymphatic circulation.","myofascial release;myofascial release therapy;myofascial","",""
"6434","False","False","Ecological Impact Assessment","Environment, Health and Safety (EHS)","Ecological Impact Assessment is the assesment of human growth on environment and natural occurrences on living creatures.","ecological impact;ecological evaluation;ecological impact assessment (ecia)","",""
"6435","False","False","Nutritional Counselling","Healthcare","Nutritional Counselling is the process of  evaluating an individual's food consumption to identify any necessary adjustments.","nutritional counselling;nutrition counselling;nutrition","",""
"6436","False","False","Lipidology","Clinical Research and Development","Lipidology is the clinical research on lipid metabolism in the body that has resulted advances in therapeutic lipidology for conditions such as heart disease.","lipidology;lipid specialist;lipidologist;lipidology study","",""
"6437","False","False","Construction Documentation","Civil Engineering","Construction Documentation is the process of  documenting design drawings with extra data such as  material specifications and contract requirement.","construction documentation","",""
"6438","False","False","Rehabilitation Counselling","Healthcare","Rehabilitation Counselling is the process of  assisting the  individuals with disabilities in achieving their personal and independent living object.","rehabilitation counselling;rehabilitation counsellings;rehabilitation counselors;rehabilitation counselling techniques","",""
"6439","False","False","Fibromyalgia","Healthcare","Fibromyalgia is a disorder that causes musculoskeletal pain accompanied by fatigue, sleep, memory and mood issues.","fibromyalgia;fibrositis","",""
"6440","False","False","Qualitative Analysis","Market Research","Qualitative Analysis is the process of analyzing  a company's value or prospects based on non-quantifiable information, such as management expertise, industry cycles, strength of research and development and labor relations.","qualitative analysis","",""
"6441","False","False","Digital Compositing","Graphics Processing","Digital Compositing is the technique of creating several images to a final image, generally for print, motion pictures or screen display.","digital compositing;digital compositor;digital compositing vfx","",""
"6442","False","False","Neuroacupuncture","Healthcare","Neuroacupuncture is a contemporary acupuncture technique integrating traditional chinese needling methods and scalp acupuncture with western medical knowledge of neurology, neuroscience, and neurological rehabilitation.","neuroacupuncture;neuro acupuncture;scalp acupuncture","",""
"6443","False","False","Fund Development","Wealth Management & Advisory","Fund Development is an organization's strategy to increases its resources and establishing bonds with people to understand and care about the organization's relevance to the local.","fund development;fund development plan;capital fund development","",""
"6444","False","False","Labor Market Survey Methodology","Market Research","Labor Market Survey Methodology is a method of collecting information on a local market.","labor market survey methodology;labour market analysis methodology;labour market survey;labour market survey method","",""
"6445","False","False","Craniosacral Therapy (Cst)","Healthcare","Craniosacral Therapy (Cst) is a mild hands on treatment that provides relief from a wide range of ailments, including headaches, neck discomfort and side effects of cancer treatment.","craniosacral therapy (cst);cranio sacral therapy;craniosacral system","",""
"6446","False","False","Endocrinology","Clinical Research and Development","Endocrinology is a field of biology and medicine that examines the endocrine system, its illnesses, and the hormones that it produces.","endocrinology","",""
"6447","False","False","Claims Strategy","Legal Services","Claims Strategy is a blueprint for an open claim that should be evaluated in the future.","claims strategy","",""
"6448","False","False","Osteopathy","Healthcare","Osteopathy is a method of alternative medicine that focuses on the physical manipulation of the body's muscular tissue and bones.","osteopathy","",""
"6449","False","False","Osteopathic Manipulative Treatment (Omt)","Healthcare","Osteopathic Manipulative Treatment (Omt) is a set of hands on techniques used by osteopathic physicians to diagnose, treat, and prevent illness or injury.","osteopathic manipulative treatment (omt)","",""
"6450","False","False","Intensive Care Medicine","Clinical Research and Development","Intensive Care Medicine is a medical specialty that serves seriously or critically ill patients or recovering from potentially life threatening diseases.","intensive care medicine","",""
"6451","False","False","Workplace Assessment","Healthcare","Workplace Assessment is a customized service that observes, measures and reports on an employee's physical, environmental and ergonomic requirements","workplace assessment;employee workplace assessments;workplace assessments","",""
"6452","False","False","Vocational Assessment","Healthcare","Vocational Assessment is the process of detecting and evaluating an individual's level of functioning for employment selection and career decision making.","vocational program assessment;vocational assessment;vocational evaluation","",""
"6453","False","False","Banking Strategy","Retail & Corporate Banking ","Banking Strategy is a form of decision made by top executives and members of a bank's board of directors on the relationship between the bank and its environment as a whole.","banking strategy","",""
"6454","False","False","Trigger Point Myotherapy","Healthcare","Trigger Point Myotherapy is a neuromuscular treatment or massage therapy which consists of applying alternate levels of focused pressure to areas of muscle pain.","trigger point myotherapy;manual trigger point therapy;myofascial trigger therapy","",""
"6455","False","False","Mean Transit Time (Mtt)","Healthcare","Mean Transit Time (Mtt) is the actual time in seconds, that red blood cells spend inside a particular volume of capillary circulation.","mean transit time (mtt);cerebral vascular mean transit time;vascular mtt","",""
"6456","False","False","Thyroid Disorder Management","Healthcare","Thyroid Disorder Management stands for hypothyroidism and it is an oral medicine that restores sufficient hormone levels and symptoms of hypothyroidism.","thyroid disorder management;thyroid disease;hypothyroidism;thyroid disease assessment and management","",""
"6457","False","False","Spinal Manipulation","Healthcare","Spinal Manipulation is a therapy or manual therapy treatment that involves moving and jolting joints, massage, exercise and physical therapy.","spinal manipulation;spinal manipulative therapy;spinal manual therapy","",""
"6458","False","False","CorelDRAW","Graphic Design and Animation","CorelDRAW is a vector graphics editor and is intended for editing two-dimensional images such as logos and posters.","coreldraw","",""
"6459","False","False","Database Design","Database Skills","Database Design is a collection of processes that facilitate the designing, development, implementation and maintenance of enterprise data management systems.","database design;db design","",""
"6460","False","False","Packet Core","Telecommunication","Packet Core is a framework for providing converged voice and data on a 4G Long-Term Evolution (LTE) network.","packet cores;packet core","",""
"6461","False","False","Internet Protocol Multimedia Subsystem (IMS)","Network Management & Administration","Internet Protocol Multimedia Subsystem (IMS) is a standardised architectural framework for delivering IP multimedia services.","ipm subsystem;internet protocol multimedia subsystem;ip multimedia core network subsystem;i-p multimedia subsystem","",""
"6462","False","False","Enterprise Network Management (ENM)","Network Management & Administration","Enterprise Network Management (ENM) is the sum total of applications, tools and processes used to provision, operate, maintain, administer and secure network infrastructure of an enterprise.","enterprise network management;enm","",""
"6463","False","False","Devsecops","Cybersecurity","Devsecops is a tool that automates integration of security at every stage of the software development lifecycle, from initial design to integration, testing and software delivery.","devsecops","",""
"6464","False","False","Power Query M","Data Engineering And Analytics","Power Query M provides a  data import experience,it's function is to filter and integrate data from one or more of a large number of supported data sources.","power query m;power query m language","",""
"6465","False","False","Soc Integration","Semiconductor & Embedded Systems","Soc Integration stands for System on a Chip that integrates a circuit and combines all or most of the components of a computer and other electronic systems.","soc integration","",""
"6466","False","False","Rocplane","Computer-Aided Design and Simulation","Rocplane is a software tool for analyzing and designing planar rock slope stability.","rocplane;roc plane;rocplane geo software","",""
"6467","False","False","Nedgraphics","Computer-Aided Design and Simulation","Nedgraphics is a computer-aided design software solution for fashion, retail, home textiles, carpet and flooring and other textile industries.","nedgraphics;nedgraphics software;nedgraphics texcelle","",""
"6468","False","False","Dyeing Process","Chemical Engineering","Dyeing Process is the interaction of a dye with fiber as well as the transport of dye into the fiber's interior.","dyeing process;natural dyeing;dyeing and fabric printing","",""
"6469","False","False","Geostudio","Computer-Aided Design and Simulation","Geostudio is a software suite that enables user to integrate several studies from various products into a single modeling project.","geostudio;geo studio;geosolpe geostudio","",""
"6470","False","False","Encryption Key Management","Cybersecurity","Encryption Key Management is the administration of cryptographic keys during their entire lifecycle likes generation, use, storage, archiving and deletion.","encryption key management","",""
"6471","False","False","Intrusion Detection System (Ids)","Cybersecurity","Intrusion Detection System (lds) is a hardware or software device that monitors a network for malicious activity or policy breaches.","intrusion detection system (ids);ids networking;intrusion detection systems","",""
"6472","False","False","User Experience(Ux)Management","UI/UX","User Experience(Ux)Management is the practice of managing user experience design related activities inside an organization to create growth and good management practices.","user experience(ux)management;ux mangement","",""
"6473","False","False","Testingwhiz","Software Quality/Testing","Testingwhiz is a codeless devops device that offers automated testing solutions for software, web, mobile and API testing to global organisations and software firms.","testingwhiz;testingwhiz scripting;testingwhiz programming","",""
"6474","False","False","Fundraising Operations","Functional Skills","Fundraising Operations is a plan of activities and campaigns to generate money and other types of donations for a cause.","fundraising operations","",""
"6475","False","False","S4 Hana Finance","ERP Systems","S4 Hana Finance is the replacement to Enterprise Resource Planning(ERP) and enhancements for the banking industry,such as the creation of a single source of financial reality.","s4 hana finance;sap s4hana;sap s4 hana","",""
"6476","False","False","Quickview","Graphics Processing","Quickview is a graphic image viewer that allows browsing of a large number of images and it's software performs image data reading in advance.","quickview;quickview++;quick view software;quick view","",""
"6477","False","False","Texcad","Graphic Design and Animation","Texcad is a program for drawing or retouching pictures in latex. It operates on plain latex pictures, but extends largely the original picture capabilities.","texcad;texcad software;texcad latex","",""
"6478","False","False","Vocational Rehabilitation Assessment","Healthcare","Vocational Rehabilitation Assessment is the process of determining the individual's level of functioning to job selection and career decision making.","vocational rehabilitation assessment;vocational rehabilitation process;vocational rehabilitation","",""
"6479","False","False","Responsive Ui","Graphical User Interface (GUI)","Responsive Ui is a graphic user interface design method for creating information that adapts easily to different screen sizes.","responsive ui","",""
"6480","False","False","Battery Management System","Power Systems & Distribution","Battery Management System is an electronic system that controls a power bank and protect it from operating outside its safe working region, monitoring its condition and computing secondary data.","battery management system;battery management system (bms);battery management;battery control system","",""
"6481","False","False","Quality Improvement (Qi)","Quality Management","Quality Improvement (Qi) refers to a company's continuous and concerted attempts to enhance its manufacturing process.","quality improvement (qi);qi improvement;quality improvement process","",""
"6482","False","False","Carotid Ultrasonography","Healthcare","Carotid Ultrasonography is a diagnostic imaging method that uses ultrasound to assess the anatomical features of the carotid arteries.","carotid ultrasonography;carotid ultrasound;ultrasonography carotid","",""
"6483","False","False","Ultrasonography Assessment","Healthcare","Ultrasonography Assessment is a diagnostic medical technique that employs sound waves to create pictures on a screen and examine interior body structures.","ultrasound assessment;ultrasonography assessment;ultrasonography","",""
"6484","False","False","Wellcad","Data Engineering And Analytics","Wellcad is a computer based composite log package, which combines comprehensive graphic editing mechanisms and data processing tools.","wellcad;well cad;well log visualization","",""
"6485","False","False","Rtl Simulation","Computer Hardware","Rtl Simulation is register transfer level simulation is a method used to validate the correctness of digital integrated circuit designs.","rtl simulation","",""
"6486","False","False","Bi Publisher","Business intelligence","Bi Publisher is a strategic corporate reporting tool that allows users to generate and maintain finely structured reports from a variety of data sources.","bi publisher","",""
"6487","False","False","Lightwright","Enterprise Productivity","Lightwright is a software that manages paperwork, counts instruments, templates, stock equipment, both frames and colour sheets and allows  data interchange with CAD and other database applications.","lightwright;lightwright software;light wright","",""
"6488","False","False","Cisco Acs","Network Security","Cisco Acs  is an authentication, authorization and accounting platform that allows to manage network access for a range of access types, devices and user groups from a single location.","cisco acs","",""
"6489","False","False","Interior Design","Civil Engineering","Interior Design is the art or practice of planning and supervising the design and execution of architectural interiors and their furnishings","interior design","",""
"6490","False","False","Multi Protocol Label Switching","Telecommunication","Multi Protocol Label Switching is a routing technique in telecommunications networks that directs data from one node to the next based on labels rather than network addresses.","multi protocol label switching;mpls network;mpls layer 3 vpn","",""
"6491","False","False","Thermoforming","Heating, Ventilation and Air Conditioning","Thermoforming is the process of heating thin plastic sheets to their forming temperature and stretching them over a mould that takes their shape.The result of a thermoforming process is a finished product with a defined three-dimensional characteristic.","thermoforming","",""
"6492","False","False","Sap Governance,Risk,And Compliance (Sap Grc)","Governance Risk & Compliance","Sap Governance,Risk,And Compliance (Sap Grc) is a set of solutions and products that helps to manage enterprise resources in a way that minimizes risk, builds trust, and lowers compliance costs.","sap governance,risk,and compliance;sap grc process;sap governance risk and compliance (sap grc)","",""
"6493","False","False","Product Innovation","Product Management","Product Innovation is the process of creating or improving products in order to solve issues for consumers, customers, businesses or society as a whole.","product innovation;new product innovation;innovative product","",""
"6494","False","False","Network Function Virtualization (NFV)","Network Management & Administration","Network Function Virtualization is a network architecture principle that employs IT virtualization technologies to virtualize whole groups of network node functions into building blocks that can be linked together to form communication services.","nfv-I;nfv infrastructure;network functions virtualization-i;nfv;network functions virtualization;network function virtualization","",""
"6495","False","False","Endovascular Surgery","Healthcare","Endovascular Surgery is a  treatment used to treat blood vessel disorders such as tumors, that are swellings or ballooning of the blood arteries.","endovascular surgery;endovascular aneurysm repair;endovascular","",""
"6496","False","False","Neurosurgery","Healthcare","Neurosurgery is a medical specialty that deals with illness prevention, diagnosis, surgical treatment and rehabilitation.","neurosurgery","",""
"6497","False","False","Minimally Invasive Surgery","Healthcare","Minimally Invasive Surgery is a surgical treatment that is conducted through small incisions rather than a big hole.","minimally invasive surgery","",""
"6498","False","False","Microsurgery","Healthcare","Microsurgery is a surgical discipline that combines magnification with advanced diploscopes, specialized precision tools and various operating techniques.","microsurgery","",""
"6499","False","False","Compliance Testing","Software Quality/Testing","Compliance Testing is a method of determining if a process, product or service complies with a set of requirements established by internal or external standards or regulations.","compliance testing;compliance testing audit","",""
"6500","False","False","Autodesk Revit Mep","Civil Engineering","Autodesk Revit Mep is a Building Information Modelling(BIM) software portfolio that is designed for mechanical, electrical and plumbing engineers working either in isolation or as part of a BIM project.","autodesk revit mep;revit mep","",""
"6501","False","False","Grasshopper 3D","Graphic Design and Animation","Grasshopper 3D is a visual programming language and environment that is integrated into the Rhinoceros 3D computer-aided design tool.","grasshopper 3d;grasshopper modelling;grasshopper rhino","",""
"6502","False","False","Adobe Creative Suite","Graphic Design and Animation","Adobe Creative Suite is a software of Adobe Systems that includes graphic design, video editing and web development capabilities.","adobe creative suite","",""
"6503","False","False","Reflexology","Healthcare","Reflexology is a healthcare technique of applying pressure to certain spots on the feet and hands to influence the health of other body parts.","reflexology","",""
"6504","False","False","Embryology","Clinical Research and Development","Embryology is the study of the prenatal development of gametes, fertilisation and the development of embryos and foetuses.","embryology","",""
